Macrodistrito,Distrito,Monto,Porce
COTAHUMA,Distrito 3,5.222.400.00,3.26
COTAHUMA,Distrito 4,7.219.200.00,4.51
COTAHUMA,Distrito 5,8.140.800.00,5.09
COTAHUMA,Distrito 6,4.147.200.00,2.59
MAX PAREDES,Distrito 7,7.833.600.00,4.90
MAX PAREDES,Distrito 8,7.065.600.00,4.42
MAX PAREDES,Distrito 9,6.912.000.00,4.32
MAX PAREDES,Distrito 10,6.758.400.00,4.22
PERIFERICA,Distrito 11,9.984.000.00,6.24
PERIFERICA,Distrito 12,8.755.200.00,5.47
PERIFERICA,Distrito 13,7.987.200.00,4.99
SAN ANTONIO,Distrito 14,7.219.200.00,4.51
SAN ANTONIO,Distrito 15,7.833.600.00,4.90
SAN ANTONIO,Distrito 16,5.836.800.00,3.65
SAN ANTONIO,Distrito 17,6.604.800.00,4.13
SUR,Distrito 18,10.502.000.00,6.56
SUR,Distrito 19,8.214.000.00,5.13
SUR,Distrito 21,9.700.000.00,6.06
MALLASA,Distrito 20,9.523.200.00,5.95
CENTRO,Distrito 1,4.147.200.00,2.59
CENTRO,Distrito 2,3.993.600.00,2.50
HAMPATURI,Distrito 22,3.200.000.00,2.00
ZONGO,Distrito 23,3.200.000.00,2.00
